n,r,m
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})","[:ADALAH {raw_relation: ADALAH, sentence_id: 3332, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: semacam dipan atau bale darurat, id: semacam_dipan_atau_bale_darurat})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})","[:ADALAH {raw_relation: ADALAH, sentence_id: 957, confidence: MED}]","(:Node:ISTILAH_UMUM_RITUAL {name: balai-balai khusus pemandian jenazah, id: balai_balai_khusus_pemandian_jenazah})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})","[:TERBUAT_DARI {raw_relation: TERBUAT_DARI, sentence_id: 354, confidence: MED}]","(:Node:SARANA_RITUAL {name: hitungan galar, id: hitungan_galar})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})","[:DIPASANG {raw_relation: DIPASANG, sentence_id: 358, confidence: MED}]","(:Node:SARANA_RITUAL {name: leluwur, id: leluwur})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})","[:BERFUNGSI_SEBAGAI {raw_relation: BERFUNGSI_SEBAGAI, sentence_id: 1056, confidence: MED}]","(:Node:ISTILAH_UMUM_RITUAL {name: balai-balai alas memandikan jenazah, id: balai_balai_alas_memandikan_jenazah})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})","[:DIPAKAI_UNTUK {raw_relation: DIPERGUNAKAN_SEBAGAI, sentence_id: 3332, confidence: HIGH}]","(:Node:SARANA_RITUAL {name: tandu, id: tandu})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})","[:DIPAKAI_UNTUK {raw_relation: DIPERGUNAKAN_SEBAGAI, sentence_id: 3332, confidence: HIGH}]","(:Node:SARANA_RITUAL {name: usungan, id: usungan})"
"(:Node:ISTILAH_UMUM_RITUAL {name: perak, id: perak, BERWARNA: [putih]})","[:BERDEWA {raw_relation: BERDEWA, sentence_id: 3755, confidence: LOW}]","(:Node:ENTITAS_KEAGAMAAN {name: dewa iswara, id: dewa_iswara})"
"(:Node:ENTITAS_KEAGAMAAN {name: peranda buddha, id: peranda_buddha})","[:MEMAKAI {raw_relation: MEMAKAI, sentence_id: 2117, confidence: LOW}]","(:Node:SARANA_RITUAL {name: naga banda pada palebonnya, id: naga_banda_pada_palebonnya})"
"(:Node:ENTITAS_KEAGAMAAN:Isolated {MENEMPATKAN_DIRI_DI: [luar alam duniawi mula-mula di atas], name: peranda shiwa, id: peranda_shiwa, TURUN_MERESAPI: [alam ini], MENEMPATKAN: [diri/jenana pada daya suci hyang widhi]})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: perbandingan kepala lembu, id: perbandingan_kepala_lembu})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: perbandingan kepala singa, id: perbandingan_kepala_singa})",null,null
"(:Node:SARANA_RITUAL {DILETAKKAN_PADA: [penebusan], name: pering, id: pering, MELAMBANGKAN: [mahkota]})","[:MELAMBANGKAN {raw_relation: MELAMBANGKAN, sentence_id: 1963, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {name: purusa-pradana, id: purusa_pradana})"
"(:Node:SARANA_RITUAL {DILETAKKAN_PADA: [penebusan], name: pering, id: pering, MELAMBANGKAN: [mahkota]})","[:DILETAKKAN_PADA {raw_relation: DILETAKKAN_PADA, sentence_id: 1963, confidence: MED}]","(:Node:TAHAPAN_UPACARA {DILAKUKAN_ANTARA: [mendiang dan keluarga yang masih hidup], name: pamerasan, definition: tanda bahwa keluarga mendiang tidak lupa akan ikatan keluarga, id: pamerasan})"
"(:Node:SARANA_RITUAL {DILETAKKAN_PADA: [penebusan], name: pering, id: pering, MELAMBANGKAN: [mahkota]})","[:DILETAKKAN_PADA {raw_relation: DILETAKKAN_PADA, sentence_id: 1963, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {name: sajen untuk surya, id: sajen_untuk_surya})"
"(:Node:SARANA_RITUAL {DILETAKKAN_PADA: [penebusan], name: pering, id: pering, MELAMBANGKAN: [mahkota]})","[:DILETAKKAN_PADA {raw_relation: DILETAKKAN_PADA, sentence_id: 1963, confidence: MED}]","(:Node:SARANA_RITUAL {name: banten teben, id: banten_teben})"
"(:Node:ISTILAH_UMUM_RITUAL {name: perlambang, id: perlambang})","[:DIKENAL_SEBAGAI {raw_relation: DIKENAL_SEBAGAI, sentence_id: 2612, confidence: MED}]","(:Node:SARANA_RITUAL {DISUCIKAN_DENGAN: [sajen kecil sebagai pengantar], MENGGUNAKAN: [meja pendek kecil], name: sekah kangsen, id: sekah_kangsen, DIBONGKAR_SETELAH: [pamralina]})"
"(:Node:TAHAPAN_UPACARA {name: persembahyangan, id: persembahyangan})","[:DIPIMPIN_OLEH {raw_relation: DIPIMPIN_OLEH, sentence_id: 780, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {aliases: [ida sang sulinggih], name: sulinggih, definition: Pendeta atau tokoh suci yang memiliki otoritas spiritual tertinggi., id: sulinggih, MEMBERIKAN: [panjaya-jaya]})"
"(:Node:SARANA_RITUAL:Isolated {name: pisang jati, definition: upakara yang berbadankan bakul-kecil bagaikan daksina, id: pisang_jati})",null,null
"(:Node:KONSEP_FILOSOFIS {HINGGA_TAMPAK: [bayangan nya], name: pitara menggunakan tirtha ening, id: pitara_menggunakan_tirtha_ening})",[:TERMASUK_JENIS],"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})","[:BAGIAN_DARI {raw_relation: BAGIAN_DARI, sentence_id: 2986, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: sekeluarga tunggalan pamrajan, id: sekeluarga_tunggalan_pamrajan})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})",[:TERMASUK_JENIS],"(:Node:KONSEP_FILOSOFIS {aliases: [tempat atma mendiang], LEPAS_BEBAS_DARI: [badan], name: atma, definition: Roh atau jiwa yang menghidupkan makhluk hidup., id: atma})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})","[:MENGGUNAKAN {raw_relation: MENGGUNAKAN, sentence_id: 2869, confidence: MED}]","(:Node:TIRTHA_SUCI {BERFUNGSI_SEBAGAI: [simbol pikiran dan perasaan sang yajamana orang yang punya upacara], name: tirtha ening, id: tirtha_ening})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})","[:DIPERSILAKAN_MASUK_KE {raw_relation: DIPERSILAKAN_MASUK_KE, sentence_id: 2624, confidence: MED}]","(:Node:SARANA_RITUAL {DISUCIKAN_DENGAN: [sajen kecil sebagai pengantar], MENGGUNAKAN: [meja pendek kecil], name: sekah kangsen, id: sekah_kangsen, DIBONGKAR_SETELAH: [pamralina]})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})","[:MENERIMA {raw_relation: MENERIMA, sentence_id: 2630, confidence: MED}]","(:Node:TAHAPAN_UPACARA {name: sembah bhakti serta ayaban sajen, id: sembah_bhakti_serta_ayaban_sajen})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})","[:BERTAHTA {raw_relation: BERTAHTA, sentence_id: 2686, confidence: MED}]","(:Node:SARANA_RITUAL {DIBUKA: [keampigan], name: puspa lingga, id: puspa_lingga})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})","[:BERTAHTA {raw_relation: BERTAHTA, sentence_id: 2686, confidence: MED}]","(:Node:SARANA_RITUAL {aliases: [mendiang dalam wujud sekah], DIALASI: [meja rendah], name: sekah, DIAJAK_BERKOMUNIKASI_OLEH: [keluarga], DIMASUKKAN_MELALUI: [pintu belakang], id: sekah, MEMBELAKANGI: [pendeta]})"
"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})","[:DIMOHONKAN_AGAR_MENUJU {raw_relation: DIMOHONKAN_AGAR_MENUJU, sentence_id: 2954, confidence: HIGH}]","(:Node:KONSEP_FILOSOFIS {name: dewaloka, id: dewaloka})"
"(:Node:RITUAL {TERDIRI_DARI: [dua kata, beberapa jenis yang pelaksanaannya ber-bhinneka], DITUJUKAN_UNTUK: [leluhur, orangtua], name: pitra yadnya, definition: Upacara suci yang ditujukan bagi leluhur., id: pitra_yadnya})",[:TERMASUK_JENIS],"(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})"
"(:Node:RITUAL {TERDIRI_DARI: [dua kata, beberapa jenis yang pelaksanaannya ber-bhinneka], DITUJUKAN_UNTUK: [leluhur, orangtua], name: pitra yadnya, definition: Upacara suci yang ditujukan bagi leluhur., id: pitra_yadnya})","[:ADALAH {raw_relation: ADALAH, sentence_id: 971, confidence: HIGH}]","(:Node:RITUAL_KEMATIAN {name: ngelungah, definition: ritual khusus untuk bayi yang belum tumbuh gigi suci, id: ngelungah})"
"(:Node:RITUAL {TERDIRI_DARI: [dua kata, beberapa jenis yang pelaksanaannya ber-bhinneka], DITUJUKAN_UNTUK: [leluhur, orangtua], name: pitra yadnya, definition: Upacara suci yang ditujukan bagi leluhur., id: pitra_yadnya})","[:MENGGUNAKAN {raw_relation: MENGGUNAKAN, sentence_id: 797, confidence: LOW}]","(:Node:SARANA_RITUAL {name: pelbagai sajen dan alat-alat upakara, id: pelbagai_sajen_dan_alat_alat_upakara})"
"(:Node:RITUAL {name: pitra yadnya dataran rendah, definition: hasil penyempurnaan terakhir yang ening sira empu kuturan, id: pitra_yadnya_dataran_rendah})",[:TERMASUK_JENIS],"(:Node:RITUAL {TERDIRI_DARI: [dua kata, beberapa jenis yang pelaksanaannya ber-bhinneka], DITUJUKAN_UNTUK: [leluhur, orangtua], name: pitra yadnya, definition: Upacara suci yang ditujukan bagi leluhur., id: pitra_yadnya})"
"(:Node:RITUAL {name: pitra yadnya tahap kedua, id: pitra_yadnya_tahap_kedua})",[:TERMASUK_JENIS],"(:Node:RITUAL {TERDIRI_DARI: [dua kata, beberapa jenis yang pelaksanaannya ber-bhinneka], DITUJUKAN_UNTUK: [leluhur, orangtua], name: pitra yadnya, definition: Upacara suci yang ditujukan bagi leluhur., id: pitra_yadnya})"
"(:Node:TAHAPAN_UPACARA:Isolated {name: pradaksina, id: pradaksina, MELAMBANGKAN: [turunnya purusa meresapi pradana material memperoleh imbas kesucian dari yang immaterial]})",null,null
"(:Node:SARANA_RITUAL:Isolated {DIMASUKKAN_KE_DALAM: [priuk], name: pramakusa, id: pramakusa, DIMANTRAI: [sebelum dimasukkan ke dalam priuk]})",null,null
"(:Node:RITUAL_KEMATIAN:Isolated {name: pranawa, definition: lambang suara om, id: pranawa})",null,null
"(:Node:TAHAPAN_UPACARA:Isolated {name: prasawya, definition: lambang gerak peningkatan diri dari sesuatu, atau gerak ke atas, id: prasawya})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {DIMASUKKAN_KE_DALAM: [periuk], name: pripih emas, id: pripih_emas})",null,null
"(:Node:ISTILAH_UMUM_RITUAL {name: priuk tempat tirtha pangringkes, id: priuk_tempat_tirtha_pangringkes})","[:DIPECAHKAN {raw_relation: DIPECAHKAN, sentence_id: 3783, confidence: LOW}]","(:Node:TIRTHA_SUCI {name: setelah tirtha dipercikkan, id: setelah_tirtha_dipercikkan})"
"(:Node:KONSEP_HUKUM_ADAT {SAMA_DENGAN: [jenis yadnya dan martabat sang mayadnya], name: punia besar-kecilnya, id: punia_besar_kecilnya})",[:TERMASUK_JENIS],"(:Node:KONSEP_HUKUM_ADAT {name: punia, LAHIR_ATAS: [jasa tuntunan yang telah dianugrahkan oleh beliau], DISINKRONKAN_DENGAN: [jenis upacara], definition: perwujudan nyata dari pernyataan parama suksma lahir batin purusa-pradana, id: punia})"
"(:Node:SARANA_RITUAL {BERISI: [nasi dengan lauknya, rokok], name: punjung, id: punjung})","[:DITARUHKAN_DI_SAMPING {raw_relation: DITARUHKAN_DI_SAMPING, sentence_id: 3080, confidence: MED}]","(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})"
"(:Node:BANGUNAN_RITUAL {name: pura atau merajan, id: pura_atau_merajan})",[:TERMASUK_JENIS],"(:Node:BANGUNAN_RITUAL {aliases: [kedua pura], DITUJUKAN_UNTUK: [tempat pemujaan terhadap tuhan penguasa laut dan gunung], name: pura, id: pura})"
"(:Node:BANGUNAN_RITUAL {name: pura dalem, id: pura_dalem})",[:TERMASUK_JENIS],"(:Node:BANGUNAN_RITUAL {aliases: [kedua pura], DITUJUKAN_UNTUK: [tempat pemujaan terhadap tuhan penguasa laut dan gunung], name: pura, id: pura})"
"(:Node:BANGUNAN_RITUAL {name: pura dan pamrajan panyiwiannya, id: pura_dan_pamrajan_panyiwiannya})",[:TERMASUK_JENIS],"(:Node:BANGUNAN_RITUAL {aliases: [kedua pura], DITUJUKAN_UNTUK: [tempat pemujaan terhadap tuhan penguasa laut dan gunung], name: pura, id: pura})"
"(:Node:BANGUNAN_RITUAL {name: pura desa, id: pura_desa})",[:TERMASUK_JENIS],"(:Node:BANGUNAN_RITUAL {aliases: [kedua pura], DITUJUKAN_UNTUK: [tempat pemujaan terhadap tuhan penguasa laut dan gunung], name: pura, id: pura})"
"(:Node:BANGUNAN_RITUAL {BERFUNGSI_SEBAGAI: [sthiti], name: pura kahyangan tiga, definition: tempat pemujaan sang pencipta, id: pura_kahyangan_tiga})",[:TERMASUK_JENIS],"(:Node:BANGUNAN_RITUAL {aliases: [kedua pura], DITUJUKAN_UNTUK: [tempat pemujaan terhadap tuhan penguasa laut dan gunung], name: pura, id: pura})"
"(:Node:BANGUNAN_RITUAL {BERFUNGSI_SEBAGAI: [sthiti], name: pura kahyangan tiga, definition: tempat pemujaan sang pencipta, id: pura_kahyangan_tiga})","[:BERFUNGSI_SEBAGAI {raw_relation: BERFUNGSI_SEBAGAI, sentence_id: 4112, confidence: HIGH}]","(:Node:TAHAPAN_UPACARA {name: pralina, definition: istilah yang telah cukup memasyarakat, id: pralina})"
"(:Node:BANGUNAN_RITUAL {BERFUNGSI_SEBAGAI: [sthiti], name: pura kahyangan tiga, definition: tempat pemujaan sang pencipta, id: pura_kahyangan_tiga})","[:BERFUNGSI_SEBAGAI {raw_relation: BERFUNGSI_SEBAGAI, sentence_id: 4112, confidence: HIGH}]","(:Node:KONSEP_FILOSOFIS {name: utpeti, definition: masuk dan menghuni, id: utpeti})"
"(:Node:BANGUNAN_RITUAL {name: pura mrajapti, id: pura_mrajapti})",[:TERMASUK_JENIS],"(:Node:BANGUNAN_RITUAL {aliases: [kedua pura], DITUJUKAN_UNTUK: [tempat pemujaan terhadap tuhan penguasa laut dan gunung], name: pura, id: pura})"
"(:Node:BANGUNAN_RITUAL {name: pura puseh, id: pura_puseh})",[:TERMASUK_JENIS],"(:Node:BANGUNAN_RITUAL {aliases: [kedua pura], DITUJUKAN_UNTUK: [tempat pemujaan terhadap tuhan penguasa laut dan gunung], name: pura, id: pura})"
"(:Node:SARANA_RITUAL {aliases: [suku tunggal], name: puspa asti, DIPANGKU_OLEH: [salah seorang keluarga], definition: abu yang diambil dengan mempergunakan sumpit/sepit, id: puspa_asti})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 780, confidence: HIGH}]","(:Node:BANGUNAN_RITUAL {DILETAKKAN_DI: [sekitar empat atau lima meter di arah hulu dari tempat pembakaran jenazah], BERWUJUD: [rumah kecil sederhana], name: bale salunglung, DIBAWA_KE: [tempat pembakaran], definition: simbol pitraloka untuk tempat badan halus nya mendiang, id: bale_salunglung, DIBUAT_DI: [rumah]})"
"(:Node:SARANA_RITUAL {aliases: [suku tunggal], name: puspa asti, DIPANGKU_OLEH: [salah seorang keluarga], definition: abu yang diambil dengan mempergunakan sumpit/sepit, id: puspa_asti})","[:DIHANCURKAN_DI {raw_relation: DIHANCURKAN_DI, sentence_id: 738, confidence: MED}]","(:Node:SARANA_RITUAL {name: sesenden, id: sesenden})"
"(:Node:SARANA_RITUAL {aliases: [suku tunggal], name: puspa asti, DIPANGKU_OLEH: [salah seorang keluarga], definition: abu yang diambil dengan mempergunakan sumpit/sepit, id: puspa_asti})","[:MENGHATURKAN {raw_relation: MENGHATURKAN, sentence_id: 2448, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {name: sembah bakti pamitan kepada bhatara-bhatari, id: sembah_bakti_pamitan_kepada_bhatara_bhatari})"
"(:Node:SARANA_RITUAL {DIBUKA: [keampigan], name: puspa lingga, id: puspa_lingga})","[:ADALAH {raw_relation: ADALAH, sentence_id: 2777, confidence: MED}]","(:Node:SARANA_RITUAL {name: sejenis sangge, id: sejenis_sangge})"
"(:Node:SARANA_RITUAL {DIBUKA: [keampigan], name: puspa lingga, id: puspa_lingga})","[:BERPERAN_SEBAGAI {raw_relation: BERPERAN_SEBAGAI, sentence_id: 2777, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {name: badan suksma bhatara, id: badan_suksma_bhatara})"
